SCL,Arturo Merino Benitez,Santiago,Chile
LIM,Jorge Chavez,Lima,Peru
BOG,El Dorado,Bogota,Colombia
BUE,Ezeiza,Buenos Aires,Argentina
MIA,Miami International,Miami,Estados Unidos
JFK,John F. Kennedy,New York,Estados Unidos
MAD,Adolfo Suarez Madrid-Barajas,Madrid,España
BCN,Josep Tarradellas Barcelona-El Prat,Barcelona,España
CDG,Charles de Gaulle,Paris,Francia
FCO,Leonardo da Vinci,Roma,Italia
LHR,Heathrow,Londres,Reino Unido
GRU,Guarulhos,Sao Paulo,Brasil
MEX,Benito Juarez,Ciudad de Mexico,Mexico
PTY,Tocumen,Ciudad de Panama,Panama
SJO,Juan Santamaria,San Jose,Costa Rica
